Price,Close,High,Low,Open,Volume
Ticker,CI,CI,CI,CI,CI
Date,,,,,
2001-12-01,26.536895751953125,27.181342764233015,25.319607497284508,25.835165434891117,38223600
2002-01-01,26.44379997253418,27.31184435254021,25.291194098397046,26.58751407783699,38070300
2002-02-01,25.7827091217041,27.93845570375184,25.222215766935008,26.22823116749786,48389700
2002-03-01,29.14279556274414,29.18016321130235,26.08451339130364,26.30008788214086,46335600
2002-04-01,31.437570571899414,31.74041154548113,28.905260104878003,28.95429175208137,53090400
2002-05-01,30.586734771728516,32.01440552769621,28.48128529716456,31.610619792661254,52128000
2002-06-01,28.097692489624023,30.849201703435945,27.35645963669722,30.58962604755782,50096100
2002-07-01,26.041637420654297,28.472189584308943,21.715831872799026,28.21177387237549,72573000
2002-08-01,24.629596710205078,26.041632186723696,22.395803018309426,26.041632186723696,55832100
2002-09-01,20.47162628173828,24.565952200359245,20.02313314125258,24.565952200359245,64151400
2002-10-01,10.501333236694336,21.557661052815245,10.082906702623758,20.776017139396913,255110100
2002-11-01,12.648669242858887,13.011886526729391,9.923088513781355,10.504236001706612,87962400
2002-12-01,11.94838809967041,12.860788857930617,11.858310151006876,12.756182449225884,57647100
2003-01-01,12.78691577911377,13.671193974200818,12.025614634689056,12.04025563738954,76534200
2003-02-01,12.581948280334473,13.00652057029088,11.448782344477845,12.86890001468268,88771500
2003-03-01,13.387173652648926,13.583354919126224,11.574693884430664,12.620017458474376,66785700
2003-04-01,15.435123443603516,15.58563810691087,13.431214289033019,13.516801571605601,58173600
2003-05-01,16.55660629272461,16.671704947023215,14.452352892809527,15.438075418810913,82817400
2003-06-01,13.853242874145508,16.943219105740905,13.575823704641111,16.60087172212799,95318400
2003-07-01,13.894197463989258,14.850575676937826,11.880459351890892,13.941719257209472,131754300
2003-08-01,14.161510467529297,14.280314971484161,12.931882576961188,13.231864586764852,73410300
2003-09-01,13.261564254760742,14.770383886716608,12.994253716808146,14.078346218016797,63417000
2003-10-01,17.05998992919922,17.119796168787488,13.18747688303466,13.372879305731727,111456900
2003-11-01,16.043272018432617,17.517518738083528,15.558833156944784,17.07195599427539,72881700
2003-12-01,17.194555282592773,17.338092293324106,16.049246770601137,16.129986553024526,47665200
2004-01-01,18.65523910522461,18.77254970539676,16.919659085247602,17.31971442784001,57861600
2004-02-01,16.67300033569336,19.238770406640995,15.911991271734886,18.6492160049358,107558100
2004-03-01,17.75285530090332,17.88821393536484,16.375220957194816,16.74519732343482,56843700
2004-04-01,19.521665573120117,21.346431707884538,17.799789596653945,17.860311589465127,98880000
2004-05-01,20.51726531982422,20.57173544995736,19.140367718396952,19.446009614951944,68129700
2004-06-01,20.822904586791992,21.167886103097292,20.030054881813633,20.51726443499232,53637600
2004-07-01,18.772008895874023,20.85778804701764,18.084822428776334,20.769997949594128,54794100
2004-08-01,20.149415969848633,20.191797946894106,17.839619873492765,18.753850755537606,63931500
2004-09-01,21.078779220581055,21.311879187525424,19.995022351795424,20.094922337628727,60667800
2004-10-01,19.2180118560791,22.04044901073451,17.564522485358072,21.08954164844861,115146900
2004-11-01,21.204620361328125,21.770924519675344,19.01813900832831,19.230126607122106,80406300
2004-12-01,24.702381134033203,25.21720241290214,21.98593712939564,21.98593712939564,88096800
2005-01-01,24.310518264770508,25.304143484258205,23.662237962606692,24.704332704996233,60145200
2005-02-01,27.506473541259766,27.712469830069935,24.425627859549927,24.431686115083814,74127000
2005-03-01,27.052072525024414,28.094168788476143,25.622220157369817,27.370154354280775,67398000
2005-04-01,27.87189483642578,28.135524159983248,25.950740615574865,27.090099445353594,63047100
2005-05-01,29.468828201293945,30.02941609490216,27.696152564644652,27.87796607288124,68846400
2005-06-01,32.43238067626953,33.165693079016236,29.36277351342538,29.483983693992222,69294600
2005-07-01,32.355567932128906,33.622512088226735,31.164400254958384,32.425281182768884,58608900
2005-08-01,34.95311737060547,35.595684495216496,32.44347770562915,32.567746175668475,67767000
2005-09-01,35.72297668457031,35.83815375249916,33.81043727766366,34.95310964497569,64932600
2005-10-01,35.12739181518555,36.32488117178128,32.65965253347862,35.16680436803391,71971500
2005-11-01,34.1118049621582,35.79132116632245,31.83202439588989,34.863644610455246,85230000
2005-12-01,33.86320495605469,35.154673766362116,32.77182076164232,34.37857957279411,58633500
2006-01-01,36.8726692199707,36.9333141328825,33.22785651315805,33.928312891691256,59706300
2006-02-01,37.22138977050781,37.903655549579135,35.47782051170891,36.736219986787205,56566500
2006-03-01,39.60779571533203,40.56296692360633,36.97273344134994,37.16073404944753,56807700
2006-04-01,32.451995849609375,40.37695409434683,31.76049345826298,39.615697531646276,70296600
2006-05-01,28.127079010009766,32.82503558958767,26.70465057361848,32.67035608325065,177140700
2006-06-01,29.877058029174805,30.328958885917157,26.85629388657436,28.260524482028718,100836000
2006-07-01,27.682476043701172,32.00549266980245,27.627868268053597,30.12763302343007,90552000
2006-08-01,34.301998138427734,35.582220487366904,27.621801393452568,27.682476121266088,107289600
2006-09-01,35.2879638671875,36.25571161707104,33.59212607434522,34.61448161898785,63183000
2006-10-01,35.496177673339844,36.77061872447366,33.59665621008473,35.29894597329122,60159000
2006-11-01,38.24837112426758,38.33333457683138,35.14116456431731,37.926727488747495,68879100
2006-12-01,39.923362731933594,40.25107653411007,37.66274797551573,38.24838377725622,34762500
2007-01-01,40.18305587768555,40.362122872026944,38.54417053198503,40.3135633319562,46585500
2007-02-01,43.248382568359375,44.52307312809617,40.058624019713974,40.246794412395374,58825800
2007-03-01,43.29695129394531,44.71428515518651,41.60039914363423,43.11181648454759,63502500
2007-04-01,47.22960662841797,47.5665480172014,43.37450009894993,43.450386860241714,52622100
